date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,blank
2020-04-16,24,13,55,10,16,74,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,80,10,6,1014,30,54,8,47,5,41,6,42,16,26,6,"42
"
2020-04-17,24,12,53,10,16,73,ENE,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,10.3,0.4,93,7,4,1012,30,87,9,48,8,46,7,44,16,25,7,"44
"
2020-04-18,24,9,49,12,19,84,E,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,2.7,0.1,96,9,5,1014,30,100,9,48,8,47,6,43,17,27,6,"43
"
2020-04-19,24,11,51,11,17,111,ESE,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.7,0.0,95,9,5,1018,31,98,9,49,9,48,7,45,16,26,7,"45
"
2020-04-20,24,13,55,10,16,70,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,83,10,6,1018,31,48,9,48,6,43,7,44,16,25,7,"44
"
2020-04-21,24,12,53,8,13,64,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,84,10,6,1018,31,52,8,47,5,42,6,43,13,22,6,"43
"
2020-04-22,24,15,58,5,8,71,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,81,10,6,1021,31,30,10,50,7,44,9,48,9,14,9,"48
"
2020-04-23,24,15,59,4,7,108,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,84,10,6,1020,31,49,11,52,8,47,11,51,7,11,11,"51
"
2020-04-24,24,16,61,3,5,134,SE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0.0,82,9,5,1016,30,50,12,54,9,48,12,54,4,7,12,"54
"
2020-04-25,24,15,59,5,8,120,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0.0,88,6,3,1013,30,72,11,52,9,49,11,51,7,12,11,"51
"
